angle1,angle2,angle3,angle4,angle5,angle6,letra
26,2,4,173,162,178,L
28,2,4,173,162,178,L
32,2,5,173,160,179,L
29,1,6,171,161,179,L
30,2,5,173,161,179,L
30,1,6,172,162,178,L
26,1,6,173,161,178,L
27,2,5,173,160,178,L
27,2,5,173,162,178,L
25,0,6,172,162,179,L
23,0,5,173,162,178,L
29,0,6,172,162,178,L
26,1,7,172,162,179,L
25,1,7,172,162,178,L
27,0,7,172,159,179,L
25,0,7,172,161,179,L
24,0,7,171,161,179,L
26,0,7,172,162,178,L
24,1,7,173,161,178,L
29,2,4,172,161,178,L
31,2,4,172,158,179,L
27,1,5,172,159,178,L
25,1,5,172,161,178,L
26,1,4,173,161,178,L
27,0,6,173,159,178,L
26,1,5,173,160,179,L
26,1,6,173,158,179,L
27,2,5,172,159,179,L
26,2,5,173,157,180,L
43,15,179,179,171,112,N
46,20,178,179,169,110,N
41,19,178,179,170,110,N
52,22,179,178,167,109,N
53,22,179,178,170,109,N
42,16,179,178,168,108,N
48,17,179,178,169,110,N
40,11,179,178,171,111,N
60,16,178,0,173,113,N
53,15,179,180,170,112,N
42,11,179,180,172,114,N
47,20,179,180,170,111,N
48,21,180,179,171,112,N
57,21,179,179,173,111,N
51,20,179,179,171,113,N
41,14,178,179,174,115,N
41,15,177,179,170,112,N
39,5,178,179,172,118,N
49,6,178,179,170,114,N
53,17,178,179,175,115,N
54,18,177,179,170,114,N
60,18,178,180,171,114,N
66,11,178,179,174,117,N
58,11,180,179,170,114,N
62,12,178,179,169,114,N
72,13,179,180,172,114,N
73,16,180,179,171,116,N
60,16,180,178,170,114,N
61,16,180,179,173,115,N
62,11,180,179,172,115,N
59,10,179,178,172,115,N
75,7,180,179,174,119,N
60,6,179,179,173,115,N
76,14,180,178,175,115,N
60,10,180,178,174,114,N
54,10,179,177,172,111,N
59,13,180,179,176,112,N
53,2,180,178,172,110,N
55,3,180,178,171,111,N
42,18,180,180,171,112,N
53,15,179,0,170,114,N
60,11,180,179,170,117,N
59,11,180,178,168,116,N
58,7,180,179,172,114,N
47,8,180,179,172,114,N
54,1,179,178,174,118,N
48,5,180,179,176,114,N
41,5,179,179,174,114,N
39,4,179,179,178,114,N
54,9,178,177,173,110,N
63,14,179,179,171,110,N
60,15,180,179,171,111,N
66,15,179,178,170,115,N
72,16,180,179,171,116,N
71,14,180,179,172,114,N
76,18,180,180,170,110,N
71,16,180,179,171,112,N
76,15,178,180,171,114,N
75,15,178,179,172,113,N
69,14,179,179,171,116,N
65,13,180,180,172,114,N
68,17,179,180,172,114,N
64,15,179,179,173,112,N
73,15,180,180,173,111,N
71,16,179,179,174,111,N
67,16,180,180,171,111,N
68,16,180,180,170,114,N
62,18,179,180,174,116,N
59,15,178,179,174,116,N
63,18,178,180,171,115,N
65,20,179,180,171,114,N
59,18,179,180,172,115,N
60,18,179,180,172,116,N
58,19,179,180,170,113,N
51,17,178,179,169,113,N
71,13,179,179,170,114,N
68,17,179,179,171,112,N
42,8,179,179,171,112,N
44,11,177,179,172,115,N
45,12,178,178,174,114,N
45,10,178,178,174,113,N
58,14,178,179,172,114,N
56,14,178,179,173,114,N
55,14,178,179,173,115,N
42,9,178,179,169,112,N
45,10,177,179,171,110,N
58,12,178,179,171,111,N
57,15,178,180,171,112,N
54,14,178,180,171,112,N
54,10,178,179,174,112,N
54,15,179,179,174,112,N
62,16,179,179,173,112,N
62,14,179,180,172,112,N
49,12,179,180,172,113,N
53,12,179,179,172,113,N
52,14,179,179,172,112,N
58,18,178,179,171,112,N
52,18,179,180,171,115,N
51,17,180,180,171,114,N
56,17,178,180,172,113,N
109,83,79,87,150,163,O
109,82,80,88,152,165,O
108,82,79,90,147,162,O
110,83,80,88,149,163,O
110,82,80,86,155,165,O
109,82,79,85,155,165,O
109,81,78,86,151,165,O
106,79,78,85,155,165,O
107,80,78,87,152,164,O
108,82,80,90,154,164,O
108,82,80,88,156,165,O
109,82,79,89,157,167,O
109,81,80,88,157,167,O
108,82,79,88,153,164,O
108,80,79,89,151,165,O
109,80,78,86,152,165,O
107,79,77,86,152,165,O
106,80,77,89,156,167,O
106,80,78,89,155,167,O
106,81,77,88,158,168,O
109,80,79,92,161,169,O
108,80,78,89,161,168,O
109,80,78,91,161,168,O
109,80,79,92,162,169,O
110,80,80,90,162,167,O
110,82,79,89,152,163,O
109,82,79,90,150,163,O
108,80,78,88,158,167,O
107,80,78,87,156,166,O
104,78,77,87,153,167,O
104,78,77,87,152,165,O
106,79,77,88,153,166,O
108,80,78,91,156,167,O
108,81,78,88,153,165,O
108,81,78,87,156,167,O
106,81,80,88,150,165,O
108,81,79,92,150,165,O
105,83,81,88,152,166,O
105,83,79,88,154,166,O
107,80,79,87,159,167,O
106,79,78,89,159,168,O
109,80,78,89,153,165,O
109,80,79,89,156,166,O
108,80,77,88,154,166,O
108,81,79,90,149,163,O
107,80,78,88,155,165,O
107,81,80,92,156,167,O
108,79,77,86,152,164,O
108,80,78,90,154,166,O
109,80,77,89,153,165,O
109,80,78,90,157,168,O
105,79,78,90,156,167,O
106,78,78,90,157,167,O
107,79,78,92,160,168,O
106,80,80,92,159,169,O
106,79,80,94,159,168,O
106,80,79,92,159,167,O
106,79,79,89,157,167,O
104,78,78,88,159,168,O
104,79,80,93,158,167,O
105,79,79,92,159,168,O
106,80,79,91,160,168,O
107,80,80,92,160,167,O
109,81,80,90,155,166,O
108,80,79,88,155,165,O
108,81,80,90,155,165,O
109,81,80,90,159,166,O
109,82,80,90,158,165,O
109,80,80,90,154,165,O
108,81,79,87,157,167,O
107,81,79,89,159,168,O
106,81,80,90,155,167,O
107,81,80,90,157,167,O
110,82,80,89,158,167,O
109,83,82,90,160,169,O
109,84,81,92,165,170,O
108,82,80,89,162,170,O
109,80,80,90,160,169,O
107,82,81,92,156,166,O
108,82,81,92,157,166,O
108,82,80,89,157,165,O
110,83,81,90,156,165,O
108,81,80,88,162,168,O
110,81,78,88,158,166,O
109,80,78,89,158,167,O
110,83,81,90,161,168,O
109,82,81,90,162,168,O
110,83,81,93,162,168,O
109,81,80,89,159,167,O
110,83,80,88,155,165,O
109,82,80,91,152,164,O
108,82,81,93,154,164,O
109,83,81,90,152,164,O
111,82,82,91,156,166,O
111,82,82,92,154,165,O
111,83,81,92,166,171,O
111,83,82,92,166,171,O
111,83,81,91,167,171,O
110,83,81,89,164,169,O
110,82,79,87,164,169,O
164,175,179,177,169,162,P
160,174,180,177,170,158,P
163,175,178,175,171,159,P
158,174,178,177,169,173,P
158,174,179,177,170,176,P
160,172,176,177,167,170,P
157,174,179,174,172,170,P
174,148,176,173,168,141,P
157,171,177,175,161,135,P
162,176,178,175,158,134,P
168,174,179,175,160,129,P
173,166,180,176,157,126,P
179,173,172,176,155,123,P
162,179,178,176,159,133,P
167,3,178,174,160,129,P
155,179,179,176,159,136,P
157,176,179,177,167,160,P
163,176,180,175,165,147,P
154,179,179,175,168,169,P
165,175,179,175,166,141,P
160,175,178,173,166,159,P
164,174,179,176,169,149,P
162,173,178,173,166,151,P
159,175,178,174,166,158,P
161,177,180,176,162,142,P
159,176,178,175,164,143,P
160,173,178,174,165,141,P
160,176,179,174,162,142,P
162,174,179,175,162,142,P
163,174,179,174,164,142,P
164,175,178,174,162,143,P
158,175,177,175,163,158,P
159,175,178,175,163,151,P
162,173,177,177,165,154,P
159,174,178,176,166,161,P
166,171,180,174,161,144,P
46,14,173,175,158,129,P
165,179,162,176,157,132,P
92,14,162,176,153,128,P
162,177,180,177,168,166,P
160,176,179,177,164,164,P
165,173,178,174,165,158,P
160,177,179,175,170,173,P
163,173,177,175,162,145,P
163,174,178,174,164,141,P
161,173,178,175,167,157,P
161,176,176,177,164,156,P
159,170,178,177,170,167,P
161,164,176,175,167,150,P
136,133,177,174,167,133,P
162,180,179,174,168,148,P
163,166,176,174,164,136,P
163,165,176,174,163,135,P
166,171,176,173,163,135,P
163,170,176,173,164,138,P
160,172,177,174,170,156,P
158,176,178,174,169,170,P
164,171,177,173,167,144,P
163,176,178,173,162,138,P
165,170,176,173,158,128,P
164,173,177,174,157,129,P
166,173,176,172,161,134,P
162,173,178,171,164,134,P
165,170,177,174,162,132,P
164,172,177,174,162,130,P
165,175,178,172,162,133,P
168,173,178,173,160,130,P
161,176,177,173,165,137,P
161,172,176,173,164,136,P
161,175,176,173,160,133,P
162,171,175,172,162,133,P
172,51,175,172,162,132,P
162,168,180,174,160,133,P
158,175,177,174,169,144,P
161,171,175,173,166,150,P
164,167,175,173,163,139,P
159,174,177,172,162,145,P
161,178,178,173,160,136,P
160,176,177,173,159,136,P
159,172,178,174,161,139,P
162,174,178,174,162,134,P
37,26,176,172,159,123,P
159,54,180,172,158,129,P
162,176,179,174,160,135,P
162,175,178,173,162,136,P
180,33,179,171,166,133,P
168,170,178,173,160,131,P
31,20,174,173,162,128,P
47,12,169,174,158,126,P
163,153,180,171,161,140,P
161,38,175,171,163,139,P
163,169,176,173,170,150,P
158,172,175,172,172,152,P
158,167,175,174,164,142,P
160,173,176,174,162,134,P
158,175,178,174,167,149,P
160,168,176,174,166,142,P
164,171,176,173,164,137,P
161,172,177,173,165,152,P
159,175,177,174,167,164,P
17,12,179,173,153,103,U
14,12,180,171,155,106,U
15,12,179,170,154,105,U
15,13,179,171,157,103,U
16,15,179,172,159,102,U
16,14,179,172,150,102,U
16,14,179,172,152,102,U
16,14,178,171,158,102,U
15,14,179,173,157,103,U
15,14,179,173,160,102,U
16,13,179,173,158,102,U
14,13,179,172,151,106,U
19,13,178,173,155,104,U
14,11,180,173,156,106,U
15,12,180,171,154,105,U
15,11,180,173,153,102,U
15,10,179,174,151,102,U
15,13,179,172,156,104,U
13,12,179,173,153,101,U
13,13,179,173,156,109,U
15,12,178,174,158,106,U
12,13,179,173,158,105,U
11,10,180,173,163,106,U
17,17,180,172,161,106,U
15,14,178,172,157,107,U
16,16,179,172,157,109,U
15,16,180,172,155,108,U
18,16,180,171,158,110,U
15,15,180,173,163,110,U
18,17,178,171,157,110,U
16,17,179,171,158,110,U
15,16,179,171,158,107,U
14,15,179,172,156,106,U
15,16,180,173,167,106,U
14,13,180,174,162,105,U
18,18,179,172,159,107,U
15,15,179,174,160,101,U
15,15,179,173,161,105,U
13,14,178,174,161,104,U
17,14,180,173,156,102,U
12,11,180,175,158,102,U
13,11,179,173,158,105,U
14,11,179,173,159,106,U
14,11,178,173,159,108,U
15,13,179,174,157,106,U
15,13,179,173,160,104,U
16,14,180,173,162,105,U
16,13,179,174,160,107,U
17,14,179,173,158,107,U
13,12,180,172,160,104,U
16,13,180,172,159,106,U
15,12,180,172,158,99,U
15,11,179,172,157,101,U
14,8,179,173,154,99,U
14,10,180,173,154,100,U
14,11,179,174,159,102,U
17,11,180,172,157,100,U
14,12,179,171,160,101,U
16,12,180,172,160,104,U
15,11,180,172,162,109,U
16,12,179,172,162,107,U
19,16,179,172,161,108,U
17,16,179,173,163,108,U
13,14,179,173,158,107,U
14,13,179,172,158,106,U
12,15,179,172,161,105,U
14,15,179,173,160,105,U
16,13,178,173,160,106,U
15,12,179,173,163,105,U
15,11,178,173,166,105,U
15,11,179,174,165,106,U
17,11,179,172,162,105,U
14,11,179,173,166,108,U
13,10,178,174,163,101,U
17,12,180,172,158,104,U
13,9,179,174,164,106,U
18,13,176,172,153,105,U
17,12,178,174,158,107,U
16,13,179,173,156,108,U
16,13,180,173,153,105,U
18,13,178,173,158,111,U
14,12,177,173,159,108,U
15,13,176,174,160,106,U
18,13,178,173,159,104,U
18,12,178,172,160,105,U
18,13,179,174,157,104,U
17,12,178,174,157,103,U
18,14,176,175,155,103,U
16,14,178,175,157,105,U
16,14,176,173,163,105,U
18,14,177,173,161,106,U
17,14,178,173,164,104,U
18,14,177,174,163,105,U
15,14,176,173,162,105,U
16,12,176,175,162,104,U
15,13,176,173,156,106,U
17,14,176,172,157,104,U
16,12,177,174,159,105,U
15,12,176,174,163,105,U
16,14,180,172,162,108,U
30,17,179,176,131,85,V
33,18,178,176,131,84,V
32,18,178,176,129,84,V
30,18,180,176,129,84,V
32,17,178,176,126,84,V
26,18,179,177,130,82,V
34,19,176,177,128,82,V
28,17,176,178,130,82,V
31,15,173,178,131,82,V
29,17,172,178,133,81,V
33,18,173,178,133,80,V
33,19,172,178,135,81,V
35,16,172,178,138,80,V
33,18,172,180,135,78,V
31,16,172,178,136,79,V
33,21,175,179,132,80,V
34,23,174,179,132,80,V
33,24,177,179,130,78,V
43,27,173,178,129,80,V
34,20,177,179,129,78,V
28,20,177,178,127,78,V
29,18,179,178,131,82,V
33,21,176,178,129,85,V
29,15,178,179,131,82,V
29,18,180,178,132,84,V
33,18,176,176,134,86,V
33,20,178,177,134,85,V
29,17,178,179,133,86,V
31,17,179,177,133,85,V
36,20,178,178,130,85,V
35,20,177,177,130,82,V
34,19,178,178,132,85,V
38,23,178,178,126,83,V
36,25,178,178,134,84,V
39,24,178,178,133,83,V
31,20,179,177,132,83,V
33,19,177,178,131,81,V
39,23,180,178,135,81,V
32,20,180,178,136,81,V
36,22,178,178,132,84,V
33,20,178,177,133,83,V
31,20,179,178,131,82,V
30,19,178,179,135,82,V
34,18,179,177,134,84,V
29,15,180,178,136,83,V
29,17,179,177,131,83,V
28,17,179,177,133,83,V
28,15,178,178,131,82,V
30,16,178,177,132,82,V
27,15,177,178,132,81,V
31,14,173,177,131,81,V
28,16,179,180,129,81,V
28,14,173,180,136,82,V
29,20,174,178,133,79,V
25,14,174,179,134,79,V
31,19,171,178,135,79,V
31,19,173,179,132,78,V
23,13,171,179,134,77,V
20,12,172,179,136,76,V
33,18,172,178,137,79,V
31,14,172,179,137,78,V
32,18,172,179,137,81,V
28,12,173,180,136,80,V
32,17,172,180,141,83,V
34,21,172,180,141,82,V
37,20,173,178,138,81,V
36,21,171,180,136,80,V
31,17,172,179,136,80,V
30,16,171,179,137,81,V
31,15,171,178,136,82,V
35,18,171,179,138,83,V
37,20,172,180,134,82,V
35,20,173,179,134,81,V
32,18,173,179,135,80,V
34,19,172,179,135,81,V
36,22,172,179,135,82,V
32,19,172,179,135,82,V
37,22,174,180,131,80,V
33,19,173,179,133,79,V
33,15,172,179,132,82,V
33,18,173,178,130,82,V
32,18,172,179,135,82,V
29,16,172,180,134,82,V
33,18,171,178,136,83,V
29,12,171,178,137,84,V
31,13,171,178,135,83,V
31,13,171,178,134,83,V
32,15,171,178,135,83,V
32,13,172,179,136,83,V
30,17,171,179,136,83,V
30,14,172,179,137,83,V
35,16,172,178,137,81,V
34,17,172,178,136,81,V
33,16,172,178,136,80,V
34,13,169,177,136,81,V
32,14,170,178,135,82,V
32,14,171,179,136,81,V
33,13,171,179,133,80,V
32,13,171,178,135,81,V
31,15,172,179,137,81,V
43,169,177,178,149,82,W
42,169,177,178,148,82,W
40,167,179,179,148,81,W
41,168,177,179,147,82,W
42,169,177,179,149,83,W
42,167,178,179,149,83,W
40,166,179,179,150,82,W
44,168,178,179,150,83,W
42,168,178,179,150,82,W
44,168,178,179,151,83,W
53,166,178,179,151,82,W
47,168,178,179,151,82,W
46,167,179,178,152,82,W
48,167,177,178,152,82,W
60,167,177,178,152,84,W
46,169,178,179,150,82,W
37,169,177,178,150,81,W
64,168,177,177,154,83,W
54,169,177,177,151,83,W
37,169,178,178,147,83,W
40,169,177,178,150,83,W
44,168,177,178,149,83,W
44,170,177,178,150,83,W
37,170,177,178,147,82,W
28,170,178,179,147,81,W
34,171,176,179,148,83,W
33,169,177,178,147,82,W
37,170,177,179,148,83,W
38,171,177,178,150,83,W
35,172,177,179,149,82,W
38,172,177,178,149,83,W
20,172,177,178,149,82,W
30,173,177,178,148,82,W
23,173,177,178,149,82,W
37,174,178,179,145,84,W
26,177,178,180,145,82,W
9,176,179,179,147,80,W
12,174,178,178,146,81,W
21,172,178,178,149,83,W
20,172,178,178,149,83,W
22,171,179,179,148,82,W
21,172,178,179,148,82,W
17,172,178,178,148,83,W
30,171,179,179,149,84,W
19,172,179,179,148,82,W
22,171,178,179,148,82,W
25,172,178,179,148,84,W
17,172,179,179,147,81,W
22,171,177,180,150,82,W
21,172,178,179,149,83,W
17,173,178,179,150,81,W
17,172,178,180,150,81,W
19,171,177,180,150,82,W
24,172,178,178,151,83,W
24,174,176,178,150,83,W
26,173,177,178,150,83,W
21,174,177,177,149,82,W
21,173,179,178,151,81,W
26,171,179,178,148,82,W
28,171,179,178,153,82,W
23,172,0,179,147,81,W
23,172,178,178,146,80,W
9,173,179,179,148,79,W
15,173,178,179,147,80,W
14,173,179,179,148,81,W
11,173,179,180,152,80,W
7,175,179,179,151,80,W
12,172,179,178,151,79,W
11,172,179,179,149,79,W
15,171,179,179,149,78,W
21,170,179,178,149,80,W
19,172,178,178,149,80,W
17,172,178,179,149,80,W
14,171,178,179,150,80,W
18,172,178,179,148,79,W
18,170,180,179,151,81,W
23,171,178,179,149,81,W
25,170,180,180,151,80,W
27,170,180,178,149,81,W
29,172,180,178,152,81,W
40,169,177,178,151,82,W
32,171,177,179,151,82,W
40,168,177,178,150,82,W
15,172,177,179,150,81,W
40,165,178,177,149,83,W
41,169,177,177,151,82,W
51,168,178,179,149,83,W
28,172,179,179,148,82,W
39,169,178,177,149,82,W
39,168,179,179,152,81,W
34,168,178,180,148,82,W
38,166,178,177,150,81,W
35,169,178,178,150,80,W
31,169,177,178,151,81,W
29,170,177,177,151,81,W
28,170,178,178,149,81,W
30,170,178,179,150,80,W
32,168,178,180,149,82,W
37,169,177,180,151,81,W
36,168,178,180,150,82,W
180,50,55,31,151,180,Y
180,48,54,31,153,180,Y
180,49,55,32,149,180,Y
180,47,50,26,152,180,Y
180,47,51,27,153,180,Y
178,45,47,27,152,179,Y
178,44,50,28,152,180,Y
179,44,50,29,151,180,Y
179,45,50,29,151,179,Y
179,46,49,28,151,180,Y
180,46,50,27,152,179,Y
180,45,49,27,151,179,Y
178,46,49,28,151,180,Y
180,45,52,32,150,180,Y
179,41,50,28,150,180,Y
179,46,55,34,149,180,Y
179,42,51,32,150,179,Y
178,41,50,30,150,179,Y
178,40,48,28,151,178,Y
180,44,52,31,151,180,Y
179,44,51,30,152,179,Y
178,47,54,30,152,180,Y
180,48,50,29,152,178,Y
179,50,51,29,151,179,Y
178,49,53,30,150,179,Y
178,47,51,28,151,178,Y
178,45,50,29,152,179,Y
179,48,52,31,150,177,Y
178,47,53,30,151,178,Y
178,42,45,27,152,177,Y
178,44,48,28,148,177,Y
179,44,52,36,146,178,Y
179,45,54,35,147,178,Y
180,45,52,35,146,178,Y
179,45,51,29,142,174,Y
177,40,49,25,146,168,Y
178,43,51,28,146,166,Y
179,45,51,27,149,167,Y
178,48,52,27,147,165,Y
178,42,46,24,155,166,Y
178,45,50,26,152,167,Y
178,45,48,26,152,167,Y
179,44,47,22,152,164,Y
177,42,51,26,151,165,Y
180,42,46,22,150,162,Y
179,44,51,25,152,162,Y
179,39,42,20,147,166,Y
178,38,42,21,148,168,Y
178,37,41,19,151,165,Y
177,40,45,23,148,169,Y
178,41,43,20,148,166,Y
177,41,46,24,145,169,Y
179,43,45,22,145,166,Y
178,37,40,18,146,168,Y
180,40,43,20,147,168,Y
178,43,52,27,144,167,Y
179,44,48,23,146,166,Y
177,41,47,23,148,165,Y
0,46,53,28,145,171,Y
179,46,51,28,147,167,Y
179,45,47,24,147,167,Y
178,41,45,22,146,169,Y
178,41,48,26,146,170,Y
177,38,43,21,147,168,Y
177,42,45,21,147,169,Y
177,39,47,23,147,170,Y
178,43,48,23,149,169,Y
178,41,46,22,149,167,Y
178,46,51,25,150,166,Y
177,41,49,26,151,166,Y
179,45,46,22,148,170,Y
177,41,45,23,156,168,Y
177,40,43,22,155,168,Y
177,40,45,21,157,167,Y
177,38,43,20,156,167,Y
179,40,41,20,155,166,Y
178,35,40,19,157,167,Y
179,38,42,23,153,168,Y
179,38,40,20,153,168,Y
177,38,39,18,155,168,Y
179,41,43,23,152,168,Y
179,40,42,20,152,166,Y
179,43,47,25,150,171,Y
179,42,41,20,156,164,Y
179,43,45,23,152,166,Y
180,41,43,22,152,166,Y
177,39,43,22,153,166,Y
179,37,38,16,154,164,Y
179,40,41,19,155,166,Y
179,39,40,18,156,165,Y
178,45,47,21,159,165,Y
178,43,46,20,156,164,Y
179,44,48,20,156,160,Y
177,44,49,19,153,162,Y
180,42,46,19,155,162,Y
0,42,43,20,152,164,Y
179,41,42,18,152,165,Y
179,43,43,18,156,162,Y
178,43,45,20,157,161,Y
179,39,43,20,153,167,Y
